,forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,execution_date,forecast_just_date,date_match
0,2015-12-31,2015-12-31,Mid Atlantic - Dominion,5063,1525,2827,711,12312015,12312015,yes
1,2015-12-31,2015-12-31,PJM RTO,15599,3696,6137,5766,12312015,12312015,yes
2,2015-12-31,2015-12-31,Western,10536,2171,3310,5055,12312015,12312015,yes
21,2015-12-30,2015-12-30,Mid Atlantic - Dominion,7178,1525,3873,1780,12302015,12302015,yes
22,2015-12-30,2015-12-30,PJM RTO,17116,3721,7481,5914,12302015,12302015,yes
23,2015-12-30,2015-12-30,Western,9938,2196,3608,4134,12302015,12302015,yes
42,2015-12-29,2015-12-29,Mid Atlantic - Dominion,8405,1525,6014,866,12292015,12292015,yes
43,2015-12-29,2015-12-29,PJM RTO,21257,3721,11769,5767,12292015,12292015,yes
44,2015-12-29,2015-12-29,Western,12852,2196,5755,4901,12292015,12292015,yes
63,2015-12-28,2015-12-28,Mid Atlantic - Dominion,7723,1525,5123,1075,12282015,12282015,yes
64,2015-12-28,2015-12-28,PJM RTO,19277,4306,9806,5165,12282015,12282015,yes
65,2015-12-28,2015-12-28,Western,11554,2781,4683,4090,12282015,12282015,yes
84,2015-12-27,2015-12-27,Mid Atlantic - Dominion,7460,1525,4702,1233,12272015,12272015,yes
85,2015-12-27,2015-12-27,PJM RTO,19141,4306,8409,6426,12272015,12272015,yes
86,2015-12-27,2015-12-27,Western,11681,2781,3707,5193,12272015,12272015,yes
105,2015-12-26,2015-12-26,Mid Atlantic - Dominion,6865,1525,4342,998,12262015,12262015,yes
106,2015-12-26,2015-12-26,PJM RTO,20172,4306,9408,6458,12262015,12262015,yes
107,2015-12-26,2015-12-26,Western,13307,2781,5066,5460,12262015,12262015,yes
126,2015-12-25,2015-12-25,Mid Atlantic - Dominion,6207,1525,3742,940,12252015,12252015,yes
127,2015-12-25,2015-12-25,PJM RTO,16651,4306,5649,6696,12252015,12252015,yes
128,2015-12-25,2015-12-25,Western,10444,2781,1907,5756,12252015,12252015,yes
147,2015-12-24,2015-12-24,Mid Atlantic - Dominion,7603,1525,4312,1766,12242015,12242015,yes
148,2015-12-24,2015-12-24,PJM RTO,20340,4306,8500,7534,12242015,12242015,yes
149,2015-12-24,2015-12-24,Western,12737,2781,4188,5768,12242015,12242015,yes
168,2015-12-23,2015-12-23,Mid Atlantic - Dominion,9045,1525,5890,1630,12232015,12232015,yes
169,2015-12-23,2015-12-23,PJM RTO,23726,4306,11102,8318,12232015,12232015,yes
170,2015-12-23,2015-12-23,Western,14681,2781,5212,6688,12232015,12232015,yes
189,2015-12-22,2015-12-22,Mid Atlantic - Dominion,9128,1525,6855,748,12222015,12222015,yes
190,2015-12-22,2015-12-22,PJM RTO,24873,4306,14422,6145,12222015,12222015,yes
191,2015-12-22,2015-12-22,Western,15745,2781,7567,5397,12222015,12222015,yes
210,2015-12-21,2015-12-21,Mid Atlantic - Dominion,9421,1525,6520,1376,12212015,12212015,yes
211,2015-12-21,2015-12-21,PJM RTO,23940,5106,11939,6895,12212015,12212015,yes
212,2015-12-21,2015-12-21,Western,14519,3581,5419,5519,12212015,12212015,yes
231,2015-12-20,2015-12-20,Mid Atlantic - Dominion,10434,1525,7164,1745,12202015,12202015,yes
232,2015-12-20,2015-12-20,PJM RTO,24224,4521,13562,6141,12202015,12202015,yes
233,2015-12-20,2015-12-20,Western,13790,2996,6398,4396,12202015,12202015,yes
252,2015-12-19,2015-12-19,Mid Atlantic - Dominion,11175,1525,7352,2298,12192015,12192015,yes
253,2015-12-19,2015-12-19,PJM RTO,24926,4521,12749,7656,12192015,12192015,yes
254,2015-12-19,2015-12-19,Western,13751,2996,5397,5358,12192015,12192015,yes
273,2015-12-18,2015-12-18,Mid Atlantic - Dominion,12574,1683,8535,2356,12182015,12182015,yes
274,2015-12-18,2015-12-18,PJM RTO,24100,5295,11923,6882,12182015,12182015,yes
275,2015-12-18,2015-12-18,Western,11526,3612,3388,4526,12182015,12182015,yes
294,2015-12-17,2015-12-17,Mid Atlantic - Dominion,15303,1748,11313,2242,12172015,12172015,yes
295,2015-12-17,2015-12-17,PJM RTO,29675,5517,17508,6650,12172015,12172015,yes
296,2015-12-17,2015-12-17,Western,14372,3769,6195,4408,12172015,12172015,yes
315,2015-12-16,2015-12-16,Mid Atlantic - Dominion,14163,1683,10350,2130,12162015,12162015,yes
316,2015-12-16,2015-12-16,PJM RTO,26882,5452,14813,6617,12162015,12162015,yes
317,2015-12-16,2015-12-16,Western,12719,3769,4463,4487,12162015,12162015,yes
336,2015-12-15,2015-12-15,Mid Atlantic - Dominion,12544,1683,9543,1318,12152015,12152015,yes
337,2015-12-15,2015-12-15,PJM RTO,24370,5549,13893,4928,12152015,12152015,yes
338,2015-12-15,2015-12-15,Western,11826,3866,4350,3610,12152015,12152015,yes
357,2015-12-14,2015-12-14,Mid Atlantic - Dominion,12258,2487,7928,1843,12142015,12142015,yes
358,2015-12-14,2015-12-14,PJM RTO,27029,6353,14227,6449,12142015,12142015,yes
359,2015-12-14,2015-12-14,Western,14771,3866,6299,4606,12142015,12142015,yes
378,2015-12-13,2015-12-13,Mid Atlantic - Dominion,12704,2656,7964,2084,12132015,12132015,yes
379,2015-12-13,2015-12-13,PJM RTO,29833,8715,14432,6686,12132015,12132015,yes
380,2015-12-13,2015-12-13,Western,17129,6059,6468,4602,12132015,12132015,yes
399,2015-12-12,2015-12-12,Mid Atlantic - Dominion,14536,2761,9486,2289,12122015,12122015,yes
400,2015-12-12,2015-12-12,PJM RTO,32617,8820,16767,7030,12122015,12122015,yes
401,2015-12-12,2015-12-12,Western,18081,6059,7281,4741,12122015,12122015,yes
420,2015-12-11,2015-12-11,Mid Atlantic - Dominion,14667,4280,7500,2887,12112015,12112015,yes
421,2015-12-11,2015-12-11,PJM RTO,30837,10419,12373,8045,12112015,12112015,yes
422,2015-12-11,2015-12-11,Western,16170,6139,4873,5158,12112015,12112015,yes
441,2015-12-10,2015-12-10,Mid Atlantic - Dominion,13592,4390,6363,2839,12102015,12102015,yes
442,2015-12-10,2015-12-10,PJM RTO,30595,10529,12193,7873,12102015,12102015,yes
443,2015-12-10,2015-12-10,Western,17003,6139,5830,5034,12102015,12102015,yes
462,2015-12-09,2015-12-09,Mid Atlantic - Dominion,12576,5234,4681,2661,12092015,12092015,yes
463,2015-12-09,2015-12-09,PJM RTO,28004,10788,9374,7842,12092015,12092015,yes
464,2015-12-09,2015-12-09,Western,15428,5554,4693,5181,12092015,12092015,yes
483,2015-12-08,2015-12-08,Mid Atlantic - Dominion,15113,5945,6520,2648,12082015,12082015,yes
484,2015-12-08,2015-12-08,PJM RTO,32650,11499,12971,8180,12082015,12082015,yes
485,2015-12-08,2015-12-08,Western,17537,5554,6451,5532,12082015,12082015,yes
504,2015-12-07,2015-12-07,Mid Atlantic - Dominion,14272,6245,5389,2638,12072015,12072015,yes
505,2015-12-07,2015-12-07,PJM RTO,29383,11858,10854,6671,12072015,12072015,yes
506,2015-12-07,2015-12-07,Western,15111,5613,5465,4033,12072015,12072015,yes
525,2015-12-06,2015-12-06,Mid Atlantic - Dominion,14131,6450,5310,2371,12062015,12062015,yes
526,2015-12-06,2015-12-06,PJM RTO,31824,12509,12884,6431,12062015,12062015,yes
527,2015-12-06,2015-12-06,Western,17693,6059,7574,4060,12062015,12062015,yes
546,2015-12-05,2015-12-05,Mid Atlantic - Dominion,15223,6639,6363,2221,12052015,12052015,yes
547,2015-12-05,2015-12-05,PJM RTO,32516,12698,13014,6804,12052015,12052015,yes
548,2015-12-05,2015-12-05,Western,17293,6059,6651,4583,12052015,12052015,yes
567,2015-12-04,2015-12-04,Mid Atlantic - Dominion,14953,6557,5112,3284,12042015,12042015,yes
568,2015-12-04,2015-12-04,PJM RTO,30953,12011,10258,8684,12042015,12042015,yes
569,2015-12-04,2015-12-04,Western,16000,5454,5146,5400,12042015,12042015,yes
588,2015-12-03,2015-12-03,Mid Atlantic - Dominion,14902,7156,4585,3161,12032015,12032015,yes
589,2015-12-03,2015-12-03,PJM RTO,29475,12610,7584,9281,12032015,12032015,yes
590,2015-12-03,2015-12-03,Western,14573,5454,2999,6120,12032015,12032015,yes
609,2015-12-02,2015-12-02,Mid Atlantic - Dominion,12838,7280,2812,2746,12022015,12022015,yes
610,2015-12-02,2015-12-02,PJM RTO,26228,12778,4670,8780,12022015,12022015,yes
611,2015-12-02,2015-12-02,Western,13390,5498,1858,6034,12022015,12022015,yes
630,2015-12-01,2015-12-01,Mid Atlantic - Dominion,12418,7325,3194,1899,12012015,12012015,yes
631,2015-12-01,2015-12-01,PJM RTO,25711,12823,5692,7196,12012015,12012015,yes
632,2015-12-01,2015-12-01,Western,13293,5498,2498,5297,12012015,12012015,yes
651,2015-11-30,2015-11-30,Mid Atlantic - Dominion,13591,8165,4601,825,11302015,11302015,yes
652,2015-11-30,2015-11-30,PJM RTO,26653,13865,7024,5764,11302015,11302015,yes
653,2015-11-30,2015-11-30,Western,13062,5700,2423,4939,11302015,11302015,yes
672,2015-11-29,2015-11-29,Mid Atlantic - Dominion,12155,7760,3230,1165,11292015,11292015,yes
673,2015-11-29,2015-11-29,PJM RTO,27293,13810,7488,5995,11292015,11292015,yes
674,2015-11-29,2015-11-29,Western,15138,6050,4258,4830,11292015,11292015,yes
693,2015-11-28,2015-11-28,Mid Atlantic - Dominion,13538,8009,4490,1039,11282015,11282015,yes
694,2015-11-28,2015-11-28,PJM RTO,26322,14059,7435,4828,11282015,11282015,yes
695,2015-11-28,2015-11-28,Western,12784,6050,2945,3789,11282015,11282015,yes
714,2015-11-27,2015-11-27,Mid Atlantic - Dominion,12880,9208,2544,1128,11272015,11272015,yes
715,2015-11-27,2015-11-27,PJM RTO,27616,15483,6214,5919,11272015,11272015,yes
716,2015-11-27,2015-11-27,Western,14736,6275,3670,4791,11272015,11272015,yes
735,2015-11-26,2015-11-26,Mid Atlantic - Dominion,12355,9231,1588,1536,11262015,11262015,yes
736,2015-11-26,2015-11-26,PJM RTO,27124,15506,4567,7051,11262015,11262015,yes
737,2015-11-26,2015-11-26,Western,14769,6275,2979,5515,11262015,11262015,yes
756,2015-11-25,2015-11-25,Mid Atlantic - Dominion,14238,10500,2188,1550,11252015,11252015,yes
757,2015-11-25,2015-11-25,PJM RTO,29856,16775,4363,8718,11252015,11252015,yes
758,2015-11-25,2015-11-25,Western,15618,6275,2175,7168,11252015,11252015,yes
777,2015-11-24,2015-11-24,Mid Atlantic - Dominion,15239,10896,2021,2322,11242015,11242015,yes
778,2015-11-24,2015-11-24,PJM RTO,32432,17499,4960,9973,11242015,11242015,yes
779,2015-11-24,2015-11-24,Western,17193,6603,2939,7651,11242015,11242015,yes
798,2015-11-23,2015-11-23,Mid Atlantic - Dominion,14991,10378,2619,1994,11232015,11232015,yes
799,2015-11-23,2015-11-23,PJM RTO,31721,18311,5944,7466,11232015,11232015,yes
800,2015-11-23,2015-11-23,Western,16730,7933,3325,5472,11232015,11232015,yes
819,2015-11-22,2015-11-22,Mid Atlantic - Dominion,16035,10758,3255,2022,11222015,11222015,yes
820,2015-11-22,2015-11-22,PJM RTO,35467,20603,9418,5446,11222015,11222015,yes
821,2015-11-22,2015-11-22,Western,19432,9845,6163,3424,11222015,11222015,yes
840,2015-11-21,2015-11-21,Mid Atlantic - Dominion,18387,10795,5632,1960,11212015,11212015,yes
841,2015-11-21,2015-11-21,PJM RTO,39510,20838,12281,6391,11212015,11212015,yes
842,2015-11-21,2015-11-21,Western,21123,10043,6649,4431,11212015,11212015,yes
861,2015-11-20,2015-11-20,Mid Atlantic - Dominion,23386,11974,7446,3966,11202015,11202015,yes
862,2015-11-20,2015-11-20,PJM RTO,48028,23441,15645,8942,11202015,11202015,yes
863,2015-11-20,2015-11-20,Western,24642,11467,8199,4976,11202015,11202015,yes
882,2015-11-19,2015-11-19,Mid Atlantic - Dominion,24533,12499,8003,4031,11192015,11192015,yes
883,2015-11-19,2015-11-19,PJM RTO,47251,24186,14474,8591,11192015,11192015,yes
884,2015-11-19,2015-11-19,Western,22718,11687,6471,4560,11192015,11192015,yes
903,2015-11-18,2015-11-18,Mid Atlantic - Dominion,25599,13420,6837,5342,11182015,11182015,yes
904,2015-11-18,2015-11-18,PJM RTO,46278,25107,12000,9171,11182015,11182015,yes
905,2015-11-18,2015-11-18,Western,20679,11687,5163,3829,11182015,11182015,yes
924,2015-11-17,2015-11-17,Mid Atlantic - Dominion,24997,14624,6249,4124,11172015,11172015,yes
925,2015-11-17,2015-11-17,PJM RTO,44601,26311,11677,6613,11172015,11172015,yes
926,2015-11-17,2015-11-17,Western,19604,11687,5428,2489,11172015,11172015,yes
945,2015-11-16,2015-11-16,Mid Atlantic - Dominion,26009,15589,5757,4663,11162015,11162015,yes
946,2015-11-16,2015-11-16,PJM RTO,46857,29036,10481,7340,11162015,11162015,yes
947,2015-11-16,2015-11-16,Western,20848,13447,4724,2677,11162015,11162015,yes
966,2015-11-15,2015-11-15,Mid Atlantic - Dominion,24716,15766,5556,3394,11152015,11152015,yes
967,2015-11-15,2015-11-15,PJM RTO,47181,29556,11587,6038,11152015,11152015,yes
968,2015-11-15,2015-11-15,Western,22465,13790,6031,2644,11152015,11152015,yes
987,2015-11-14,2015-11-14,Mid Atlantic - Dominion,26164,17014,5977,3173,11142015,11142015,yes
988,2015-11-14,2015-11-14,PJM RTO,47311,31574,10597,5140,11142015,11142015,yes
989,2015-11-14,2015-11-14,Western,21147,14560,4620,1967,11142015,11142015,yes
1008,2015-11-13,2015-11-13,Mid Atlantic - Dominion,25522,18680,3214,3628,11132015,11132015,yes
1009,2015-11-13,2015-11-13,PJM RTO,45420,31457,7758,6205,11132015,11132015,yes
1010,2015-11-13,2015-11-13,Western,19898,12777,4544,2577,11132015,11132015,yes
1029,2015-11-12,2015-11-12,Mid Atlantic - Dominion,25162,18710,4117,2335,11122015,11122015,yes
1030,2015-11-12,2015-11-12,PJM RTO,46659,33453,8222,4984,11122015,11122015,yes
1031,2015-11-12,2015-11-12,Western,21497,14743,4105,2649,11122015,11122015,yes
1050,2015-11-11,2015-11-11,Mid Atlantic - Dominion,27375,18933,5824,2618,11112015,11112015,yes
1051,2015-11-11,2015-11-11,PJM RTO,48012,33676,9292,5044,11112015,11112015,yes
1052,2015-11-11,2015-11-11,Western,20637,14743,3468,2426,11112015,11112015,yes
1071,2015-11-10,2015-11-10,Mid Atlantic - Dominion,28989,18933,7250,2806,11102015,11102015,yes
1072,2015-11-10,2015-11-10,PJM RTO,50194,33836,11842,4516,11102015,11102015,yes
1073,2015-11-10,2015-11-10,Western,21205,14903,4592,1710,11102015,11102015,yes
1092,2015-11-09,2015-11-09,Mid Atlantic - Dominion,27344,19328,5705,2311,11092015,11092015,yes
1093,2015-11-09,2015-11-09,PJM RTO,50325,35432,10186,4707,11092015,11092015,yes
1094,2015-11-09,2015-11-09,Western,22981,16104,4481,2396,11092015,11092015,yes
1113,2015-11-08,2015-11-08,Mid Atlantic - Dominion,27695,19209,5532,2954,11082015,11082015,yes
1114,2015-11-08,2015-11-08,PJM RTO,54101,35168,13356,5577,11082015,11082015,yes
1115,2015-11-08,2015-11-08,Western,26406,15959,7824,2623,11082015,11082015,yes
1134,2015-11-07,2015-11-07,Mid Atlantic - Dominion,28855,19731,6905,2219,11072015,11072015,yes
1135,2015-11-07,2015-11-07,PJM RTO,53510,35614,13038,4858,11072015,11072015,yes
1136,2015-11-07,2015-11-07,Western,24655,15883,6133,2639,11072015,11072015,yes
1155,2015-11-06,2015-11-06,Mid Atlantic - Dominion,27761,20005,5236,2520,11062015,11062015,yes
1156,2015-11-06,2015-11-06,PJM RTO,53518,36275,12713,4530,11062015,11062015,yes
1157,2015-11-06,2015-11-06,Western,25757,16270,7477,2010,11062015,11062015,yes
1176,2015-11-05,2015-11-05,Mid Atlantic - Dominion,29181,20322,6063,2796,11052015,11052015,yes
1177,2015-11-05,2015-11-05,PJM RTO,54148,37259,10802,6087,11052015,11052015,yes
1178,2015-11-05,2015-11-05,Western,24967,16937,4739,3291,11052015,11052015,yes
1197,2015-11-04,2015-11-04,Mid Atlantic - Dominion,28974,20682,5834,2458,11042015,11042015,yes
1198,2015-11-04,2015-11-04,PJM RTO,50849,36299,9457,5093,11042015,11042015,yes
1199,2015-11-04,2015-11-04,Western,21875,15617,3623,2635,11042015,11042015,yes
1218,2015-11-03,2015-11-03,Mid Atlantic - Dominion,27140,20316,4664,2160,11032015,11032015,yes
1219,2015-11-03,2015-11-03,PJM RTO,50352,35977,9387,4988,11032015,11032015,yes
1220,2015-11-03,2015-11-03,Western,23212,15661,4723,2828,11032015,11032015,yes
1239,2015-11-02,2015-11-02,Mid Atlantic - Dominion,26804,21277,3595,1932,11022015,11022015,yes
1240,2015-11-02,2015-11-02,PJM RTO,50730,36814,9715,4201,11022015,11022015,yes
1241,2015-11-02,2015-11-02,Western,23926,15537,6120,2269,11022015,11022015,yes
1260,2015-11-01,2015-11-01,Mid Atlantic - Dominion,29015,21082,5675,2258,11012015,11012015,yes
1261,2015-11-01,2015-11-01,PJM RTO,51064,34405,12136,4523,11012015,11012015,yes
1262,2015-11-01,2015-11-01,Western,22049,13323,6461,2265,11012015,11012015,yes
1281,2015-10-31,2015-10-31,Mid Atlantic - Dominion,33586,22121,9416,2049,10312015,10312015,yes
1282,2015-10-31,2015-10-31,PJM RTO,57511,35521,16568,5422,10312015,10312015,yes
1283,2015-10-31,2015-10-31,Western,23925,13400,7152,3373,10312015,10312015,yes
1302,2015-10-30,2015-10-30,Mid Atlantic - Dominion,29785,20264,7166,2355,10302015,10302015,yes
1303,2015-10-30,2015-10-30,PJM RTO,50986,33191,11061,6734,10302015,10302015,yes
1304,2015-10-30,2015-10-30,Western,21201,12927,3895,4379,10302015,10302015,yes
1323,2015-10-29,2015-10-29,Mid Atlantic - Dominion,28109,17714,7586,2809,10292015,10292015,yes
1324,2015-10-29,2015-10-29,PJM RTO,49839,32356,10711,6772,10292015,10292015,yes
1325,2015-10-29,2015-10-29,Western,21730,14642,3125,3963,10292015,10292015,yes
1344,2015-10-28,2015-10-28,Mid Atlantic - Dominion,27265,17833,6793,2639,10282015,10282015,yes
1345,2015-10-28,2015-10-28,PJM RTO,49075,32561,10721,5793,10282015,10282015,yes
1346,2015-10-28,2015-10-28,Western,21810,14728,3928,3154,10282015,10282015,yes
1365,2015-10-27,2015-10-27,Mid Atlantic - Dominion,27959,18451,7125,2383,10272015,10272015,yes
1366,2015-10-27,2015-10-27,PJM RTO,49175,33339,10483,5353,10272015,10272015,yes
1367,2015-10-27,2015-10-27,Western,21216,14888,3358,2970,10272015,10272015,yes
1386,2015-10-26,2015-10-26,Mid Atlantic - Dominion,29325,19177,6540,3608,10262015,10262015,yes
1387,2015-10-26,2015-10-26,PJM RTO,51698,35827,9453,6418,10262015,10262015,yes
1388,2015-10-26,2015-10-26,Western,22373,16650,2913,2810,10262015,10262015,yes
1407,2015-10-25,2015-10-25,Mid Atlantic - Dominion,29372,20456,5336,3580,10252015,10252015,yes
1408,2015-10-25,2015-10-25,PJM RTO,55860,36702,12858,6300,10252015,10252015,yes
1409,2015-10-25,2015-10-25,Western,26488,16246,7522,2720,10252015,10252015,yes
1428,2015-10-24,2015-10-24,Mid Atlantic - Dominion,29463,20035,5806,3622,10242015,10242015,yes
1429,2015-10-24,2015-10-24,PJM RTO,55727,37205,12928,5594,10242015,10242015,yes
1430,2015-10-24,2015-10-24,Western,26264,17170,7122,1972,10242015,10242015,yes
1449,2015-10-23,2015-10-23,Mid Atlantic - Dominion,28440,19994,5957,2489,10232015,10232015,yes
1450,2015-10-23,2015-10-23,PJM RTO,52890,35557,13606,3727,10232015,10232015,yes
1451,2015-10-23,2015-10-23,Western,24450,15563,7649,1238,10232015,10232015,yes
1470,2015-10-22,2015-10-22,Mid Atlantic - Dominion,29792,21209,5425,3158,10222015,10222015,yes
1471,2015-10-22,2015-10-22,PJM RTO,55091,36912,13164,5015,10222015,10222015,yes
1472,2015-10-22,2015-10-22,Western,25299,15703,7739,1857,10222015,10222015,yes
1491,2015-10-21,2015-10-21,Mid Atlantic - Dominion,30586,21022,6226,3338,10212015,10212015,yes
1492,2015-10-21,2015-10-21,PJM RTO,56280,37192,13810,5278,10212015,10212015,yes
1493,2015-10-21,2015-10-21,Western,25694,16170,7584,1940,10212015,10212015,yes
1512,2015-10-20,2015-10-20,Mid Atlantic - Dominion,30763,22148,5364,3251,10202015,10202015,yes
1513,2015-10-20,2015-10-20,PJM RTO,57115,38568,12389,6158,10202015,10202015,yes
1514,2015-10-20,2015-10-20,Western,26352,16420,7025,2907,10202015,10202015,yes
1533,2015-10-19,2015-10-19,Mid Atlantic - Dominion,31326,22569,5182,3575,10192015,10192015,yes
1534,2015-10-19,2015-10-19,PJM RTO,58066,38908,12490,6668,10192015,10192015,yes
1535,2015-10-19,2015-10-19,Western,26740,16339,7308,3093,10192015,10192015,yes
1554,2015-10-18,2015-10-18,Mid Atlantic - Dominion,32155,20728,8368,3059,10182015,10182015,yes
1555,2015-10-18,2015-10-18,PJM RTO,57712,36554,16278,4880,10182015,10182015,yes
1556,2015-10-18,2015-10-18,Western,25557,15826,7910,1821,10182015,10182015,yes
1575,2015-10-17,2015-10-17,Mid Atlantic - Dominion,30057,20450,6355,3252,10172015,10172015,yes
1576,2015-10-17,2015-10-17,PJM RTO,54736,36493,13319,4924,10172015,10172015,yes
1577,2015-10-17,2015-10-17,Western,24679,16043,6964,1672,10172015,10172015,yes
1596,2015-10-16,2015-10-16,Mid Atlantic - Dominion,29780,18629,8374,2777,10162015,10162015,yes
1597,2015-10-16,2015-10-16,PJM RTO,55474,34212,16682,4580,10162015,10162015,yes
1598,2015-10-16,2015-10-16,Western,25694,15583,8308,1803,10162015,10162015,yes
1617,2015-10-15,2015-10-15,Mid Atlantic - Dominion,27124,18410,5131,3583,10152015,10152015,yes
1618,2015-10-15,2015-10-15,PJM RTO,52432,34354,12290,5788,10152015,10152015,yes
1619,2015-10-15,2015-10-15,Western,25308,15944,7159,2205,10152015,10152015,yes
1638,2015-10-14,2015-10-14,Mid Atlantic - Dominion,24652,17925,4705,2022,10142015,10142015,yes
1639,2015-10-14,2015-10-14,PJM RTO,48688,33826,10779,4083,10142015,10142015,yes
1640,2015-10-14,2015-10-14,Western,24036,15901,6074,2061,10142015,10142015,yes
1659,2015-10-13,2015-10-13,Mid Atlantic - Dominion,24956,17859,5649,1448,10132015,10132015,yes
1660,2015-10-13,2015-10-13,PJM RTO,48080,33745,11542,2793,10132015,10132015,yes
1661,2015-10-13,2015-10-13,Western,23124,15886,5893,1345,10132015,10132015,yes
1680,2015-10-12,2015-10-12,Mid Atlantic - Dominion,24415,18850,4499,1066,10122015,10122015,yes
1681,2015-10-12,2015-10-12,PJM RTO,47510,35066,9863,2581,10122015,10122015,yes
1682,2015-10-12,2015-10-12,Western,23095,16216,5364,1515,10122015,10122015,yes
1701,2015-10-11,2015-10-11,Mid Atlantic - Dominion,24256,19069,4717,470,10112015,10112015,yes
1702,2015-10-11,2015-10-11,PJM RTO,46590,34611,10227,1752,10112015,10112015,yes
1703,2015-10-11,2015-10-11,Western,22334,15542,5510,1282,10112015,10112015,yes
1722,2015-10-10,2015-10-10,Mid Atlantic - Dominion,26494,19379,5661,1454,10102015,10102015,yes
1723,2015-10-10,2015-10-10,PJM RTO,51494,34874,13009,3611,10102015,10102015,yes
1724,2015-10-10,2015-10-10,Western,25000,15495,7348,2157,10102015,10102015,yes
1743,2015-10-09,2015-10-09,Mid Atlantic - Dominion,26845,19349,5803,1693,10092015,10092015,yes
1744,2015-10-09,2015-10-09,PJM RTO,46730,33969,8905,3856,10092015,10092015,yes
1745,2015-10-09,2015-10-09,Western,19885,14620,3102,2163,10092015,10092015,yes
1764,2015-10-08,2015-10-08,Mid Atlantic - Dominion,25469,18970,4917,1582,10082015,10082015,yes
1765,2015-10-08,2015-10-08,PJM RTO,45228,33460,7759,4009,10082015,10082015,yes
1766,2015-10-08,2015-10-08,Western,19759,14490,2842,2427,10082015,10082015,yes
1785,2015-10-07,2015-10-07,Mid Atlantic - Dominion,25802,18233,5751,1818,10072015,10072015,yes
1786,2015-10-07,2015-10-07,PJM RTO,46271,33268,9396,3607,10072015,10072015,yes
1787,2015-10-07,2015-10-07,Western,20469,15035,3645,1789,10072015,10072015,yes
1806,2015-10-06,2015-10-06,Mid Atlantic - Dominion,25108,18170,4695,2243,10062015,10062015,yes
1807,2015-10-06,2015-10-06,PJM RTO,44953,33203,7810,3940,10062015,10062015,yes
1808,2015-10-06,2015-10-06,Western,19845,15033,3115,1697,10062015,10062015,yes
1827,2015-10-05,2015-10-05,Mid Atlantic - Dominion,25336,18405,5079,1852,10052015,10052015,yes
1828,2015-10-05,2015-10-05,PJM RTO,48273,35025,8419,4829,10052015,10052015,yes
1829,2015-10-05,2015-10-05,Western,22937,16620,3340,2977,10052015,10052015,yes
1848,2015-10-04,2015-10-04,Mid Atlantic - Dominion,21587,16511,3082,1994,10042015,10042015,yes
1849,2015-10-04,2015-10-04,PJM RTO,44718,30442,8965,5311,10042015,10042015,yes
1850,2015-10-04,2015-10-04,Western,23131,13931,5883,3317,10042015,10042015,yes
1869,2015-10-03,2015-10-03,Mid Atlantic - Dominion,22474,15604,3876,2994,10032015,10032015,yes
1870,2015-10-03,2015-10-03,PJM RTO,47284,28780,11442,7062,10032015,10032015,yes
1871,2015-10-03,2015-10-03,Western,24810,13176,7566,4068,10032015,10032015,yes
1890,2015-10-02,2015-10-02,Mid Atlantic - Dominion,20972,14899,3114,2959,10022015,10022015,yes
1891,2015-10-02,2015-10-02,PJM RTO,40753,25704,6646,8403,10022015,10022015,yes
1892,2015-10-02,2015-10-02,Western,19781,10805,3532,5444,10022015,10022015,yes
1911,2015-10-01,2015-10-01,Mid Atlantic - Dominion,24004,14460,6371,3173,10012015,10012015,yes
1912,2015-10-01,2015-10-01,PJM RTO,44978,26531,10621,7826,10012015,10012015,yes
1913,2015-10-01,2015-10-01,Western,20974,12071,4250,4653,10012015,10012015,yes
1932,2015-09-30,2015-09-30,Mid Atlantic - Dominion,23701,13980,5283,4438,09302015,09302015,yes
1933,2015-09-30,2015-09-30,PJM RTO,44644,26234,8799,9611,09302015,09302015,yes
1934,2015-09-30,2015-09-30,Western,20943,12254,3516,5173,09302015,09302015,yes
1953,2015-09-29,2015-09-29,Mid Atlantic - Dominion,22671,13623,5613,3435,09292015,09292015,yes
1954,2015-09-29,2015-09-29,PJM RTO,40650,25054,7689,7907,09292015,09292015,yes
1955,2015-09-29,2015-09-29,Western,17979,11431,2076,4472,09292015,09292015,yes
1974,2015-09-28,2015-09-28,Mid Atlantic - Dominion,21087,13620,5055,2412,09282015,09282015,yes
1975,2015-09-28,2015-09-28,PJM RTO,36282,25021,6836,4425,09282015,09282015,yes
1976,2015-09-28,2015-09-28,Western,15195,11401,1781,2013,09282015,09282015,yes
1995,2015-09-27,2015-09-27,Mid Atlantic - Dominion,20258,11926,5425,2907,09272015,09272015,yes
1996,2015-09-27,2015-09-27,PJM RTO,38756,23311,10591,4854,09272015,09272015,yes
1997,2015-09-27,2015-09-27,Western,18498,11385,5166,1947,09272015,09272015,yes
2016,2015-09-26,2015-09-26,Mid Atlantic - Dominion,20859,12289,5231,3339,09262015,09262015,yes
2017,2015-09-26,2015-09-26,PJM RTO,37813,23789,9335,4689,09262015,09262015,yes
2018,2015-09-26,2015-09-26,Western,16954,11500,4104,1350,09262015,09262015,yes
2037,2015-09-25,2015-09-25,Mid Atlantic - Dominion,18496,10839,4472,3185,09252015,09252015,yes
2038,2015-09-25,2015-09-25,PJM RTO,29400,18246,6525,4629,09252015,09252015,yes
